"Date","DV","VV","TN","TM","HR","PP","RAD_MEA","SUNSHINE","Nombre_Base"
2003-08-01,3,2.9,19.64,22.1,81,0.5,10.4,12.5563888888889,"metdata_Santamaria"
2003-09-01,7,2.3,17.7,22.3,85,7.6,17.9,12.3094444444444,"metdata_Santamaria"
2003-10-01,6,2.2,19.5,22.5,86,11.2,15.1,12.0375,"metdata_Santamaria"
2003-11-01,3,2.1,18.17,21.6,86,0,13.2,11.7697222222222,"metdata_Santamaria"
2003-12-01,3,3.2,19.6,21,87,14.3,5.3,11.5827777777778,"metdata_Santamaria"
2004-01-01,3,8.9,20.17,22.7,61,0,19.6,11.5505555555556,"metdata_Santamaria"
2004-02-01,3,3,15.06,22.5,68,0,20.5,11.7025,"metdata_Santamaria"
2004-03-01,3,8,19.97,23.8,59,0,24,11.9416666666667,"metdata_Santamaria"
2004-04-01,3,5.5,18.87,23.3,60,0,23.6,12.2272222222222,"metdata_Santamaria"
2004-05-01,3,5,19.4,24.4,63,0,21.5,12.4858333333333,"metdata_Santamaria"
2004-06-01,7,2.3,19.11,22.5,85,4.3,13.3,12.6708333333333,"metdata_Santamaria"
2004-07-01,3,5.6,19.64,23.3,63,0,13.9,12.6963888888889,"metdata_Santamaria"
2004-08-01,2,2.5,18.14,22.6,81,0.1,14.5,12.5513888888889,"metdata_Santamaria"
2004-09-01,3,4.5,19.27,22.9,73,0.3,20,12.3027777777778,"metdata_Santamaria"
2004-10-01,6,2.2,17.07,20.9,91,22.3,15.5,12.0308333333333,"metdata_Santamaria"
2004-11-01,6,2.8,18.44,21.9,86,8.1,18.4,11.7641666666667,"metdata_Santamaria"
2004-12-01,3,6,16.86,21.9,66,0.1,19.9,11.58,"metdata_Santamaria"
2005-01-01,3,5.7,18.3,22.9,66,0,18.2,11.5522222222222,"metdata_Santamaria"
2005-02-01,3,7.3,18.67,21.8,64,0,22.1,11.7077777777778,"metdata_Santamaria"
2005-03-01,3,3.6,16.5,23.7,65,0,22.9,11.9391666666667,"metdata_Santamaria"
2005-04-01,3,3.1,18.87,23.5,77,0.3,20.9,12.2247222222222,"metdata_Santamaria"
2005-05-01,3,2.2,18.86,23.3,78,21.3,19.1,12.4836111111111,"metdata_Santamaria"
2005-06-01,7,2.4,18.54,21.7,88,3.5,16.5,12.6697222222222,"metdata_Santamaria"
2005-07-01,3,1.7,19.03,21.4,88,7.8,14.7,12.6969444444444,"metdata_Santamaria"
2005-08-01,3,3.1,18.47,22.8,80,0,12.3,12.5533333333333,"metdata_Santamaria"
2005-09-01,3,3,19.37,21.4,85,13.2,9.8,12.305,"metdata_Santamaria"
2005-10-01,6,2.3,19,21.2,91,4.1,16.2,12.0333333333333,"metdata_Santamaria"
2005-11-01,6,1.8,17.46,21.4,90,5.9,11.7,11.7661111111111,"metdata_Santamaria"
2005-12-01,3,3.3,14.46,21.3,74,0,17.7,11.5808333333333,"metdata_Santamaria"
2006-01-01,3,3.5,17.36,21.5,74,0,15.8,11.5516666666667,"metdata_Santamaria"
2006-02-01,3,5.9,19.23,22.9,59,0,21.6,11.7061111111111,"metdata_Santamaria"
2006-03-01,3,6.1,18.81,23,64,0,21.4,11.9369444444444,"metdata_Santamaria"
2006-04-01,3,7.3,20.03,24,55,0,23.1,12.2225,"metdata_Santamaria"
2006-05-01,3,4.1,18.24,23.9,59,0,25.2,12.4816666666667,"metdata_Santamaria"
2006-06-01,3,2.3,20.54,23,82,0.5,12.2,12.6686111111111,"metdata_Santamaria"
